COMPLEXID,the_geom,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
0,POINT (-73.93710833747073 40.79984400956955),N,69163,2,12171,10,1074333,1,05/14/2009 12:00:00 AM +0000,11/29/2016 12:00:00 AM +0000,2,DOE,10078501,5128938,PS 96 JOSEPH LANZETTA
0,POINT (-73.9829219091849 40.76380762325644),,34217,1,13932,3,1024838,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023588,ED SULLIVAN THTR
0,POINT (-73.98288764761297 40.76405741768613),,34220,1,2410,4,1024839,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,7,NYPD,,1023591,AMERITANIA HOTEL AT TIMES SQUARE
0,POINT (-73.93634786975662 40.68091615244033),,43117,2,3247,1,3047371,3,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,NYPD,,3058824,GOSPEL TEMPLE CHURCH OF GOD
515,POINT (-73.82191299264632 40.865502482529976),,9008897,1,8230,2,2093858,2,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,1,DoITT,,2101927,CO-OP CITY BUILDING 28
0,POINT (-73.90296648123018 40.8334086349387),,78137,,5077,2,2009619,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,2017249,LA PENINSULA COMMUNITY HEAD START
2245,POINT (-73.94404016060808 40.7032418138991),X,9004671,2,7129,3,3327986,3,05/14/2009 12:00:00 AM +0000,09/07/2012 12:00:00 AM +0000,1,DCP,32055002,3094096,BORINQUEN PLAZA BUILDING 1
0,POINT (-74.02034113025549 40.649790482853675),N,17826,2,13182,7,3332515,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,8,DCP,33361901,5125956,DSNY GARAGE BROOKLYN 10
0,POINT (-73.93569488141881 40.75255340482011),,67394,2,15765,1,4436782,4,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,EMS,,0,ST PATRICKS CHURCH
0,POINT (-73.98375310434135 40.76440130450185),,34220,1,5444,3,1024843,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023594,STUDIO 54
